2024-08-01 00:37:07,321 - Dataset Number: 3
2024-08-01 00:37:07,321 - Number of sampe data: None
2024-08-01 00:37:07,321 - Mode: True
2024-08-01 00:37:07,321 - Test Model lists: [1, 2, 3, 4, 11, 12, 13, 14, 15, 16]
2024-08-01 00:37:07,321 - NUM_EPOCHS: 10
2024-08-01 00:37:07,321 - BATCH_SIZE: 32
2024-08-01 00:37:07,321 - LEARNING_RATE: 0.001
2024-08-01 00:37:07,321 - Evaluating Model Type: 1
2024-08-01 01:06:31,772 - weighted Loss Type: True
2024-08-01 01:06:57,541 - Label 63 R2 Score: 0.0000, MSE: 1.0000
2024-08-01 01:06:57,542 - Label 64 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,543 - Label 65 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,543 - Label 66 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,544 - Label 67 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,545 - Label 68 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,545 - Label 69 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,546 - Label 70 R2 Score: -0.0052, MSE: 0.0049
2024-08-01 01:06:57,546 - Epoch [2/10], Loss: 0.0006, Val Loss: 0.0016, R2 Score: 0.2432
2024-08-01 01:07:09,833 - Label 0 R2 Score: -0.0377, MSE: 0.0361
2024-08-01 01:07:09,834 - Label 1 R2 Score: -0.0005, MSE: 0.0005
2024-08-01 01:07:09,834 - Label 2 R2 Score: -0.0002, MSE: 0.0002
2024-08-01 01:07:09,835 - Label 3 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:07:09,835 - Label 4 R2 Score: -0.0016, MSE: 0.0016
2024-08-01 01:07:09,835 - Label 5 R2 Score: -0.0014, MSE: 0.0014
2024-08-01 01:07:09,836 - Label 6 R2 Score: -0.0113, MSE: 0.0092
2024-08-01 01:07:09,836 - Label 7 R2 Score: -0.0144, MSE: 0.0092
2024-08-01 01:07:09,836 - Label 8 R2 Score: -0.0034, MSE: 0.0013
2024-08-01 01:07:09,837 - Label 9 R2 Score: -0.1018, MSE: 0.0769
2024-08-01 01:07:09,837 - Label 10 R2 Score: -0.0009, MSE: 0.0009
2024-08-01 01:07:09,838 - Label 11 R2 Score: -0.0256, MSE: 0.0250
